referee_id,name,source_lots,raw_rows,unique_event_rows,duplicates_removed
788021,Vlad Baban,FINAL,13,13,0
788127,Jorgen Haugen,360,6,6,0
788130,Adam Herczeg,120,50,50,0
788154,Ermanno Feliciani,240,50,50,0
788156,Daniele Perenzoni,120,50,50,0
788163,Luis Lobo Medina,360,50,50,0
788185,Sebastian Lozano,FINAL,100,50,50
788190,Marijan Drmic,360,9,9,0
788207,Omer Tolga Guldibi,480|FINAL,47,47,0
788244,Filip Dujic,240,50,50,0
788270,Nicolas Ramirez,480|FINAL,50,50,0
788295,Antoine Valnet,120,50,50,0
788296,Azzedine Souifi,120,50,50,0
788299,Thomas Kirk,FINAL,50,50,0
788305,Jacob Karlsen,360,50,50,0
788314,Diogo Rosa,240,50,50,0
788320,Jose Bessa,360,50,50,0
788379,Giuseppe Mucera,240,19,19,0
788387,Valerio Crezzini,FINAL,35,35,0
788392,Simone Galipo,FINAL,31,31,0
788405,Maguielson Lima Barbosa,360,48,48,0
788411,Andrea Zanotti,120,17,17,0
788419,Davide Di Marco,240,82,41,41
788427,Andrea Calzavara,120,19,19,0
788429,Alberto Ruben Arena,120,33,33,0
788451,Mario Perri,360,33,33,0
788459,Erik Mattsson,240,23,23,0
788462,Lasse Laebel Graagaard,360,48,48,0
788500,Emre Kaan Caliskan,240,1,1,0
788504,Berkay Erdemir,120,13,13,0
788506,Dogukan Yildirim,240,1,1,0
788509,Wouter Wiersma,FINAL,50,50,0
788516,Rafael Rodrigo Klein,480|FINAL,50,50,0
788520,Hajrim Qovanaj,240,3,3,0
788542,Huseyin Sanli,240,3,3,0
788545,Ayberk Demirbas,120,34,34,0
788549,Sebastian Nicolas Martinez,FINAL,100,50,50
788558,Erdem Mertoglu,240,50,50,0
788559,Felix Wagner,240,10,10,0
788577,Ahmed Taleb,120,49,49,0
788579,Geoffrey Kubler,240,37,37,0
788614,Thomas Vincent,FINAL,1,1,0
788615,Pierre Retail,480|FINAL,2,2,0
788622,Tifenn Leprodhomme,FINAL,17,17,0
788626,Gabriel Henry,240,2,2,0
788693,Rodrigo Jose Pereira de Lima,480|FINAL,50,50,0
788694,Ruebyn Ricardo,FINAL,150,50,100
788696,Edward Duckworth,240,50,50,0
788710,Suleyman Bahadir,FINAL,27,27,0
788715,Manuel Angel Perez Hernandez,360,47,47,0
788716,Gorka Etayo Herrera,240,23,23,0
788732,Shona Shukrula,FINAL,12,12,0
788750,Fatih Tokail,240,42,42,0
788760,Michiel Allaerts,480|FINAL,32,32,0
788779,Matthew Corlett,480|FINAL,50,50,0
788834,Scott Jackson,FINAL,100,50,50
788843,Bruno Mota Correia,120,46,46,0
788844,Joao Vitor Gobi,360,50,50,0
788845,Yuri Elino Ferreira Da Cruz,FINAL,50,50,0
788853,Bruno Pereira Vasconcelos,120,47,47,0
788854,Matheus Delgado Candançan,480|FINAL,50,50,0
788873,Farai Hallam,240,50,50,0
788930,Afro Rocha De Carvalho Filho,120,30,30,0
788933,Luiz Augusto Silveira Tisne,360,7,7,0
788948,Leonardo Willers Lorenzatto,360,4,4,0
788956,Alexis Da Silva,120,50,50,0
788967,Manuel Baumann,360,1,1,0
788968,Markus Greinecker,360,5,5,0
788977,Isa Simsek,240,19,19,0
788982,Davi de Oliveira Lacerda,120,50,50,0
788983,Jonathan Benkenstein Pinheiro,360,50,50,0
789001,Gustavo Ervino Bauermann,240,45,45,0
789029,Marcio Torres,360,43,43,0
789031,Flavio Miguel Gomes Azevedo Duarte,240,22,22,0
789045,Manuel Jesus Orellana Cid,360,50,50,0
789070,Ricardo Fierro,480|FINAL,30,30,0
789071,Facundo Raul Tello Figueroa,240,50,50,0
789093,Claudio Giuseppe Allegretta,120,17,17,0
789095,Edoardo Manedo Mazzoni,240,1,1,0
789100,Mattia Drigo,480|FINAL,1,1,0
789112,Goncalo Rafael dos Santos Neves,240,28,28,0
789121,Thomas Hardeman,FINAL,47,47,0
789129,Lucas Canetto Bellote,360,25,25,0
789133,Kaan Kara,360,1,1,0
789138,Asen Albayrak,120,6,6,0
789157,Ibrahim Guner,240,1,1,0
789163,Maco Di Loreto,360,1,1,0
789166,Burak Kamalak,120,1,1,0
789206,Miguel Andre Monteiro Fonseca,480|FINAL,49,49,0
789211,Stephen Parkinson,FINAL,39,39,0
789215,Michael Barlow,480|FINAL,22,22,0
789245,Hakan Ulker,240,10,10,0
789252,Daniel Palencia Caballero,120,44,44,0
789262,Alejandro Morilla Turrion,120,22,22,0
789270,Batuhan Kolak,120,50,50,0
789285,Kirsty Dowle,360,16,16,0
789289,Steve Martin,FINAL,4,4,0
789313,Sorin Dan Vadana,FINAL,14,14,0
789317,Massimiliano Ledda,480|FINAL,18,18,0
789331,Lorenzo Hernandez,360,31,31,0
789355,Klass Clerkx,360,6,6,0
789367,Andrew Humphries,120,38,38,0
789376,Joshua Encarnacion,360,4,4,0
789389,Elliot Bell,240,50,50,0
789405,Alex Gomes Stefano,120,50,50,0
789411,Fernando Antonio Mendes de Salles Nascimento Filho,240,41,41,0
789412,Lucas Guimarães Rechatiko Horn,360,20,20,0
789431,Sergii Demianchuk,FINAL,48,24,24
789502,Lucas Casagrande,360,45,45,0
789514,Thaillan Azevedo Gomes,FINAL,11,11,0
789529,Svend Funder,FINAL,14,14,0
789566,Benjamin Speedie,120,50,50,0
789568,George Catalin Roman,240,23,23,0
789571,Jose Rodrigues,360,5,5,0
789588,Flavio Jesus,240,21,21,0
789593,Sergui Claudiu Muresan,FINAL,40,40,0
789597,Carlos Muniz Munoz,120,46,46,0
789637,Rick Sturm,480|FINAL,43,43,0
789645,Elijio Arreguin,240,15,15,0
789652,Juan Pafundi,360,21,21,0
789725,Niels Boel,480|FINAL,20,20,0
789731,Luis Carlos Mateus Filipe,360,31,31,0
789753,Olatz Rivera Olmedo,480|FINAL,1,1,0
789754,Abigail Byrne,120,24,24,0
789763,Alejandro Ojaos Valera,120,23,23,0
789774,Daniel Miranda Bolano,120,2,2,0
789775,Gonzalo Romero Freixas,240,1,1,0
789779,Julio Cesar Pfleger,360,2,2,0
