ID_Jugador,Jugador,Foto_URL,Pais,Fecha_Nacimiento,Posicion,Altura,Pie,Valor_Mercado
44001,Radja Nainggolan,https://api.sofascore.com/api/v1/player/44001/image,Belgium,,M,176,,
44241,Nemanja Matić,https://api.sofascore.com/api/v1/player/44241/image,Serbia,31/07/1988,M,194,Left,1500000
44417,Denis Alibec,https://api.sofascore.com/api/v1/player/44417/image,Romania,,F,187,,
44435,Alexandru Chipciu,https://api.sofascore.com/api/v1/player/44435/image,Romania,,D,177,,
44478,Valentin Crețu,https://api.sofascore.com/api/v1/player/44478/image,Romania,01/01/1989,D,176,Right,105000
44566,Adam Smith,https://api.sofascore.com/api/v1/player/44566/image,England,28/04/1991,D,180,Right,310000
44614,Kyle Walker,https://api.sofascore.com/api/v1/player/44614/image,England,27/05/1990,D,183,Right,1400000
44760,Cédric Soares,https://api.sofascore.com/api/v1/player/44760/image,Portugal,30/08/1991,M,172,Right,465000
44848,Jens Stryger Larsen,https://api.sofascore.com/api/v1/player/44848/image,Denmark,20/02/1991,D,180,Both,400000
44864,Daley Blind,https://api.sofascore.com/api/v1/player/44864/image,Netherlands,08/03/1990,D,180,Left,1200000
44900,Mateusz Klich,https://api.sofascore.com/api/v1/player/44900/image,Poland,,M,183,,
44906,Łukasz Skorupski,https://api.sofascore.com/api/v1/player/44906/image,Poland,04/05/1991,G,187,Right,1900000
44932,Thiago Cionek,https://api.sofascore.com/api/v1/player/44932/image,Poland,,D,184,,
45362,Kamil Glik,https://api.sofascore.com/api/v1/player/45362/image,Poland,,D,190,,
45502,Alex McCarthy,https://api.sofascore.com/api/v1/player/45502/image,England,,G,193,,
45682,Barry Bannan,https://api.sofascore.com/api/v1/player/45682/image,Scotland,,M,170,,
45723,Jan Kovařík,https://api.sofascore.com/api/v1/player/45723/image,Czechia,,M,185,,
45853,İlkay Gündoğan,https://api.sofascore.com/api/v1/player/45853/image,Germany,23/10/1990,M,180,Right,1900000
45880,Lukas Van Eenoo,https://api.sofascore.com/api/v1/player/45880/image,Belgium,,M,175,,
45946,Jelle Vossen,https://api.sofascore.com/api/v1/player/45946/image,Belgium,,F,180,,
45959,Thomas Kaminski,https://api.sofascore.com/api/v1/player/45959/image,Belgium,22/10/1992,G,190,Both,960000
45969,Kevin Kis,https://api.sofascore.com/api/v1/player/45969/image,Belgium,,D,188,,
45970,Christian Benteke,https://api.sofascore.com/api/v1/player/45970/image,Belgium,,F,190,,
46413,Andrea Signorini,https://api.sofascore.com/api/v1/player/46413/image,Italy,,D,186,,
46620,Yannick Bolasie,https://api.sofascore.com/api/v1/player/46620/image,DR Congo,23/05/1989,F,185,Both,155000
46900,Nick Viergever,https://api.sofascore.com/api/v1/player/46900/image,Netherlands,02/08/1989,D,182,Left,325000
46988,Yoshimar Yotún,https://api.sofascore.com/api/v1/player/46988/image,Peru,06/04/1990,M,171,Left,215000
46992,Juan Diego Lojas,https://api.sofascore.com/api/v1/player/46992/image,Peru,,D,188,,
46998,Marcos Rojo,https://api.sofascore.com/api/v1/player/46998/image,Argentina,,D,187,,
47017,Rodolfo Cota,https://api.sofascore.com/api/v1/player/47017/image,Mexico,,G,184,,
47037,Osvaldo González,https://api.sofascore.com/api/v1/player/47037/image,Chile,,D,182,,
47219,Ivan Huayhuata,https://api.sofascore.com/api/v1/player/47219/image,Bolivia,,M,171,,
47233,Vladimir Castellón,https://api.sofascore.com/api/v1/player/47233/image,Bolivia,,F,178,,
47278,Diego Chará,https://api.sofascore.com/api/v1/player/47278/image,Colombia,,M,179,,
47310,James Belshaw,https://api.sofascore.com/api/v1/player/47310/image,England,,G,191,,
47334,Eduardo Salvio,https://api.sofascore.com/api/v1/player/47334/image,Argentina,12/07/1990,M,173,Right,725000
47339,Agustín Marchesín,https://api.sofascore.com/api/v1/player/47339/image,Argentina,15/03/1988,G,188,Right,530000
47358,Ibrahim Kone,https://api.sofascore.com/api/v1/player/47358/image,Guinea,04/12/1989,G,190,Right,54000
47401,Aldo Corzo,https://api.sofascore.com/api/v1/player/47401/image,Peru,19/05/1989,D,173,Right,140000
