referee_id,name,country,match_count,last_match_date,first_match_date,avg_yellow_cards,avg_red_cards,avg_booking_points,avg_fouls_total,avg_first_card_minute,avg_cards_1h,avg_cards_2h,avg_cards_et,competition_ids,competition_names,search_key,source_lots
786178,Hernan Mastrangelo,Argentina,50,2026-08-23,2024-05-10,4.56,0.2,49.6,26.36,34.9,1.7,3.06,0.0,155,Liga Profesional Argentina,hernan mastrangelo,240
225478,Horatiu Fesnic,Romania,50,2026-08-28,2023-11-11,4.94,0.24,54.2,29.08,27.0,2.14,3.02,0.02,152,Liga I,horatiu fesnic,240
372760,Horia Gabriel Mladinovici,Romania,50,2026-08-29,2021-12-11,3.44,0.3,40.4,19.78,34.96,1.18,2.56,0.0,152,Liga I,horia gabriel mladinovici,240
788542,Huseyin Sanli,Switzerland,3,2026-08-08,2026-02-25,4.0,0.33,46.67,22.33,27.0,2.0,2.33,0.0,215,Swiss Super League,huseyin sanli,240
789157,Ibrahim Guner,Türkiye,1,2026-08-22,2026-08-22,8.0,2.0,120.0,30.0,24.0,4.0,6.0,0.0,98,1. Lig,ibrahim guner,240
127416,Ingmar Oostrom,Netherlands,50,2026-08-28,2024-04-12,3.24,0.12,34.8,23.44,38.0,1.14,2.22,0.0,37|131,Eerste Divisie|Eredivisie,ingmar oostrom,240
179011,Iosu Galech Apezteguia,Spain,50,2026-08-16,2023-12-10,4.4,0.18,47.6,26.28,34.71,1.46,3.12,0.0,8|54,LaLiga EA Sports|LaLiga Hypermotion,iosu galech apezteguia,240
788977,Isa Simsek,Austria,19,2026-08-09,2024-09-29,4.58,0.32,52.11,19.95,37.05,1.0,3.89,0.0,45,Austrian Bundesliga,isa simsek,240
790560,Isaac Searle,England,8,2026-04-25,2025-12-13,3.75,0.25,42.5,20.62,29.0,1.62,2.38,0.0,24|25,League One|League Two,isaac searle,240
316136,Ismail Elfath,USA,50,2026-08-29,2021-10-16,4.62,0.28,51.8,24.92,30.06,1.72,3.18,0.0,242,MLS,ismail elfath,240
